Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2014-9-19,0,0,153,NYY,TOR,79-74,2,13.0,N,40059,+++
2014-9-20,1,0,154,NYY,TOR,79-75,2,14.0,D,47292,-
2014-9-21,1,1,155,NYY,TOR,80-75,2,13.0,D,48144,+
2014-9-22,0,1,156,NYY,BAL,81-75,2,12.0,N,35614,++
2014-9-23,0,0,157,NYY,BAL,81-76,2,13.0,N,43201,-
2014-9-24,0,0,158,NYY,BAL,81-77,2,14.0,D,46056,--
2014-9-25,0,0,159,NYY,BAL,82-77,2,13.0,N,48613,+
Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2015-4-6,0,0,1,NYY,TOR,0-1,4,1.0,D,48469,-
2015-4-8,0,0,2,NYY,TOR,1-1,2,0.5,N,31020,+
2015-4-9,0,0,3,NYY,TOR,1-2,4,1.0,N,32152,-
2015-4-10,0,1,4,NYY,BOS,1-3,4,2.0,N,41292,--
2015-4-11,1,1,5,NYY,BOS,1-4,5,3.0,D,46678,---
2015-4-12,1,0,6,NYY,BOS,2-4,5,2.0,N,43019,+
2015-4-24,0,0,17,NYY,NYM,10-7,1,Tied,N,45310,++++
2015-4-25,1,1,18,NYY,NYM,10-8,1,Tied,D,47909,-
2015-4-26,1,0,19,NYY,NYM,11-8,1,Tied,N,47510,+
2015-4-27,0,0,20,NYY,TBR,12-8,1,up 1.0,N,34590,++
2015-4-28,0,1,21,NYY,TBR,13-8,1,up 2.0,N,36934,+++
2015-4-29,0,0,22,NYY,TBR,13-9,1,up 1.0,D,30055,-
2015-5-7,0,0,29,NYY,BAL,18-11,1,up 3.0,N,39816,+
2015-5-8,0,0,30,NYY,BAL,19-11,1,up 3.0,N,38731,++
2015-5-9,1,1,31,NYY,BAL,19-12,1,up 2.0,D,41280,-
2015-5-10,1,0,32,NYY,BAL,20-12,1,up 3.0,D,39059,+
2015-5-22,0,1,42,NYY,TEX,22-20,2,1.5,N,40008,----
2015-5-23,1,1,43,NYY,TEX,22-21,2,1.5,D,42067,-----
2015-5-24,1,1,44,NYY,TEX,22-22,2,1.5,N,45681,------
2015-5-25,0,1,45,NYY,KCR,23-22,2,0.5,D,36031,+
2015-5-26,0,0,46,NYY,KCR,24-22,1,up 0.5,N,33414,++
2015-5-27,0,0,47,NYY,KCR,25-22,1,up 1.5,D,32734,+++
2015-6-5,0,0,55,NYY,LAA,30-25,1,up 0.5,N,40310,++++
